,Classifier,mean F score classifier,classifier mean F - biased mean F,Wilcoxon test p-value
0,Decision Tree,0.4388,0.06060000000000004,2.9977896848498334e-06
1,Naive Bayes,0.4144,0.03620000000000001,0.011840608130081972
2,SVM,0.4167,0.038500000000000034,0.014696771827034516
3,MLP,0.4693,0.09110000000000001,1.2569057512964722e-11
4,Random Forest,0.4913,0.11310000000000003,3.9615975688395455e-12
5,Biased Classifier,0.3782,0.0,-
