Classifier Name,Hyperparameters,Unnamed: 0,Precision,Recall,F-score
Decision Tree,100,2697.0,0.43348950540630105,0.4667291199942129,0.44007609399170555
Decision Tree,2,297.0,0.640609668109668,0.361511714721467,0.4490033588064027
Decision Tree,3,897.0,0.5698763409792822,0.37572378121833294,0.4362686127085055
Decision Tree,4,1497.0,0.546775572166052,0.38585979442664387,0.4326551252649919
Decision Tree,5,2097.0,0.5156069477048579,0.40053988678683455,0.4385635322300476
